field,biome,country,pesticide_kg_ha,nearbyorg,pest_abu_ha
organic,boreal,J,0.738,0.33,287.8
organic,tropical,L,1.296,0.41,350.4
organic,temperate,O,0.701,0.46,304.1
organic,boreal,A,1.34,0.38,242.6
conventional,temperate,F,4.067,0.1,254.6
organic,boreal,Y,1.013,0.44,217.8
conventional,tropical,E,3.655,0.02,326.8
conventional,boreal,R,3.349,0.04,201.3
organic,temperate,D,0.616,0.33,306.4
conventional,temperate,U,1.83,0.09,246.5
conventional,temperate,T,3.445,0.04,230.1
conventional,tropical,K,2.973,0.01,315
organic,boreal,E,0.717,0.56,277.3
conventional,tropical,K,5.457,0.05,321.2
organic,tropical,O,1.009,0.49,370.8
conventional,boreal,Z,3.359,0.03,184.2
conventional,boreal,T,3.133,0.01,196.8
organic,tropical,T,1.761,0.42,418.2
organic,boreal,A,0.173,0.53,235.2
organic,temperate,R,0.755,0.41,284.4
conventional,boreal,Z,0.998,0.01,251.5
conventional,temperate,S,2.449,0.01,281.1
organic,tropical,D,1.539,0.42,380.7
conventional,tropical,C,1.295,0.01,360.8
conventional,temperate,T,1.947,0.14,297.7
organic,boreal,P,0.418,0.56,244.5
conventional,tropical,O,2.086,0.04,351.1
conventional,temperate,V,0.262,0.03,313.1
conventional,boreal,D,1.749,0,229.1
organic,tropical,D,2.25,0.59,326
organic,temperate,B,1.13,0.51,244.4
conventional,temperate,V,2.219,0,247.5
conventional,temperate,X,1.527,0.05,283.3
organic,tropical,C,1.026,0.37,371.1
conventional,tropical,Y,1.872,0.02,338.8
conventional,boreal,H,1.724,0.04,212
conventional,tropical,K,3.76,0.01,318.8
conventional,temperate,Q,3.776,0,254.8
organic,tropical,E,1.948,0.28,373.9
conventional,boreal,H,3.419,0.06,225.9
conventional,boreal,T,2.018,0.07,238.9
conventional,temperate,O,2.355,0.15,282.4
organic,boreal,A,0.648,0.53,250.1
conventional,tropical,A,3.441,0.03,325.4
conventional,tropical,U,1.52,0.06,395.1
organic,boreal,A,0.649,0.42,225.1
conventional,boreal,Y,2.599,0.01,232.6
organic,boreal,O,0.814,0.27,281.8
conventional,tropical,W,4.701,0.14,284.3
organic,boreal,J,0.114,0.4,272.6
conventional,boreal,O,0.553,0,265.5
organic,tropical,W,1.967,0.55,326.6
organic,boreal,S,1.305,0.44,251.8
organic,tropical,A,1.696,0.48,351.5
organic,tropical,H,0.974,0.41,372.9
conventional,boreal,C,2.012,0.2,241.4
organic,tropical,V,2.156,0.49,320.2
organic,tropical,F,1.874,0.42,348.2
organic,boreal,Z,0.747,0.53,222
conventional,tropical,W,1.892,0.02,383.4
conventional,temperate,Z,1.327,0.03,259.4
conventional,temperate,U,1.258,0,298.9
conventional,temperate,P,3.989,0.02,254.1
conventional,boreal,T,2.608,0.02,224.2
organic,tropical,W,1.305,0.4,388.9
conventional,boreal,I,2.544,0.01,230.5
organic,temperate,H,0.539,0.39,233.3
conventional,boreal,N,2.106,0,223.9
conventional,boreal,C,4.648,0.01,178.3
conventional,tropical,O,1.947,0.02,354.1
conventional,temperate,G,4.2,0,240.6
organic,tropical,C,0.718,0.37,343.9
organic,boreal,D,1.439,0.54,227
conventional,temperate,I,4.452,0.02,244.2
conventional,boreal,V,1.21,0.03,240.1
organic,temperate,O,1.499,0.47,253.9
organic,tropical,E,2.204,0.42,363.5
conventional,tropical,M,2.074,0.06,350
organic,boreal,X,0.357,0.46,231.1
organic,temperate,H,0.684,0.44,251.9
conventional,temperate,U,1.841,0.05,221.4
organic,temperate,K,0.925,0.4,323.5
conventional,tropical,W,4.013,0.02,356.6
conventional,temperate,Y,3.54,0.01,258.5
conventional,boreal,Z,4.417,0.02,222.1
conventional,tropical,Y,3.628,0.05,333.1
organic,tropical,L,1.095,0.41,351.5
organic,temperate,C,0.709,0.52,282
organic,boreal,D,1.089,0.39,271.7
conventional,temperate,R,3.648,0.06,249.9
conventional,tropical,J,2.469,0.01,354.8
organic,boreal,O,0.387,0.33,299.3
conventional,temperate,J,2.453,0.03,295.3
conventional,temperate,N,0.791,0,273.4
conventional,boreal,Z,0.526,0.04,253
organic,tropical,Q,1.839,0.48,377
conventional,tropical,U,2.651,0,338.3
organic,tropical,F,2.084,0.32,410.1
conventional,temperate,W,2.281,0.04,221.7
conventional,temperate,Z,1.818,0.06,286.7
organic,temperate,B,1.315,0.64,246.9
organic,tropical,R,3.022,0.4,322
conventional,boreal,N,2.92,0.03,209.7
conventional,temperate,W,2.479,0.06,217.4
organic,tropical,A,1.513,0.24,368.4
conventional,temperate,F,2.717,0.06,270
conventional,tropical,E,1.524,0,340.4
organic,temperate,C,0.271,0.55,274.4
conventional,boreal,E,1.927,0.01,214.7
conventional,boreal,O,3.776,0,235.1
conventional,tropical,I,4.47,0.24,319.9
organic,temperate,B,0.712,0.37,264.4
organic,temperate,T,0.56,0.33,301.5
organic,boreal,C,0.519,0.54,244.5
organic,boreal,B,0.215,0.52,228
conventional,tropical,Y,4.057,0.02,284.9
conventional,tropical,V,4.369,0.09,328.8
conventional,tropical,P,3.026,0.01,317.6
organic,boreal,E,1.763,0.27,244.5
conventional,tropical,X,2.724,0.01,352.4
organic,tropical,A,1.284,0.62,343.6
conventional,temperate,Z,4.196,0.05,228.8
organic,temperate,F,1.014,0.64,247.7
organic,boreal,I,1.308,0.49,237.5
organic,temperate,M,0.68,0.58,298.5
conventional,boreal,N,3.634,0.07,214
conventional,temperate,O,2.668,0.02,234.7
organic,temperate,L,2.007,0.25,284.5
organic,temperate,W,0.743,0.35,280.6
organic,boreal,K,1.912,0.51,229.1
conventional,temperate,X,1.281,0.01,292.4
conventional,tropical,O,4.126,0.01,334.5
organic,temperate,T,0.934,0.6,235.2
conventional,boreal,W,2.028,0.05,250.4
conventional,temperate,P,0.28,0,297.2
organic,tropical,L,1.58,0.38,342.4
organic,temperate,Y,0.655,0.27,294.4
organic,tropical,V,1.668,0.53,366.7
organic,tropical,J,2.258,0.42,348.7
organic,tropical,B,2.221,0.35,345.1
conventional,boreal,N,2.818,0.05,203.7
conventional,tropical,C,3.061,0,362.4
conventional,tropical,M,1.445,0.09,366.2
conventional,temperate,U,0.926,0.01,311.3
conventional,temperate,J,3.036,0.1,213.8
organic,temperate,W,0.684,0.41,274.7
conventional,temperate,S,1.459,0,259.5
conventional,boreal,Y,2.286,0.02,195.2
conventional,temperate,Q,2.287,0.01,254
organic,temperate,B,0.674,0.36,274.1
organic,temperate,N,0.761,0.34,288.9
organic,boreal,Z,0.817,0.52,215.2
organic,tropical,S,1.377,0.44,379.5
organic,boreal,K,0.795,0.35,270.8
conventional,boreal,U,2.773,0,191.3
organic,boreal,J,0.374,0.53,227.1
conventional,tropical,P,4.337,0.02,302.2
conventional,temperate,P,3.097,0.06,235
conventional,tropical,W,4.293,0.04,287.3
conventional,temperate,N,0.919,0.03,310.1
organic,temperate,W,0.216,0.49,270.3
organic,tropical,U,2.204,0.4,399.6
organic,boreal,S,0.578,0.46,289.1
organic,tropical,Y,1.791,0.7,319.9
conventional,temperate,Y,2.45,0.04,268.9
conventional,temperate,O,1.984,0.03,223.4
organic,temperate,S,0.863,0.57,273.3
conventional,tropical,L,1.705,0.01,356.4
conventional,boreal,A,2.803,0.05,195.2
conventional,temperate,U,2.884,0.05,253.8
organic,boreal,R,0.939,0.31,251.5
conventional,temperate,D,2.713,0.02,258.9
organic,tropical,G,2.709,0.31,342.2
conventional,temperate,R,3.915,0.04,245
conventional,boreal,Z,1.996,0,199.5
organic,temperate,U,0.705,0.48,298.8
organic,tropical,G,1.822,0.32,385.9
conventional,tropical,L,3.679,0.01,349.8
organic,tropical,G,1.48,0.46,313
organic,tropical,W,1.392,0.44,401.5
organic,tropical,P,2.26,0.51,385.9
conventional,temperate,C,1.797,0.03,279.9
organic,boreal,I,1.196,0.52,205
conventional,tropical,D,4.968,0,295.8
conventional,temperate,F,3.879,0.01,212.9
organic,boreal,Z,1.191,0.53,235.6
organic,temperate,R,1.141,0.49,302.2
conventional,tropical,E,2.712,0.07,338.7
conventional,boreal,E,2.148,0.01,221.4
conventional,boreal,O,2.284,0.01,209
conventional,temperate,E,2.369,0,237
organic,temperate,G,1.171,0.52,263
conventional,temperate,Y,2.662,0.02,235.9
organic,boreal,Z,0.368,0.34,280.9
conventional,tropical,U,4.203,0,307.9
conventional,temperate,Y,3.54,0.02,228.2
organic,boreal,Q,1.04,0.43,273.5
organic,temperate,S,0.903,0.52,273.9
conventional,tropical,Z,1.401,0.04,376.4
conventional,tropical,Z,2.479,0.01,359.3
conventional,tropical,Q,1.346,0.01,347.3
organic,tropical,I,2.342,0.34,365.1
conventional,temperate,N,4.39,0.02,242.7
conventional,boreal,T,2.396,0.04,233
organic,temperate,I,0.277,0.44,320.6
organic,tropical,S,2.751,0.34,367
organic,tropical,T,2.437,0.57,316.8
conventional,boreal,D,3.441,0.01,238.4
conventional,boreal,V,0.922,0.03,204.6
organic,temperate,J,0.592,0.48,318.9
organic,tropical,I,1.85,0.33,382.1
conventional,tropical,E,5.729,0.03,283.7
conventional,tropical,J,5.832,0.03,320.9
conventional,tropical,N,2.267,0,324.3
organic,boreal,B,0.333,0.43,261.7
conventional,boreal,R,1.717,0.02,177.3
organic,temperate,M,1.233,0.37,308.2
organic,temperate,L,1.332,0.44,267.7
organic,tropical,H,1.18,0.45,371.1
organic,boreal,Q,0.211,0.56,252.8
conventional,boreal,R,1.549,0,196.8
conventional,boreal,Z,4.022,0.06,195.3
organic,tropical,A,2.032,0.36,317.5
organic,boreal,P,1.305,0.26,208.4
organic,tropical,K,2.215,0.45,379
organic,boreal,A,0.476,0.34,287.2
organic,temperate,T,2.093,0.44,243.6
organic,tropical,A,1.884,0.39,363.3
conventional,tropical,L,3.624,0.01,370.4
conventional,tropical,M,4.393,0.09,333.9
organic,temperate,Z,0.981,0.58,284.6
organic,tropical,K,0.961,0.49,393.6
conventional,temperate,Z,2.018,0.05,285.5
conventional,boreal,Y,2.752,0.01,222.4
conventional,temperate,X,3.077,0.01,256.7
organic,tropical,F,1.756,0.39,366.9
conventional,tropical,O,3.345,0.02,336.5
conventional,boreal,V,1.629,0.02,190.9
organic,temperate,L,0.98,0.43,266
conventional,temperate,U,2.379,0.07,262.4
conventional,boreal,T,0.972,0.01,229.8
conventional,boreal,B,1.9,0.01,240.7
conventional,tropical,G,3.497,0.03,360.5
organic,tropical,N,0.773,0.38,397.3
organic,boreal,E,1.018,0.43,218
conventional,boreal,O,1.044,0.07,275
conventional,boreal,A,0.799,0.01,286.1
organic,temperate,D,0.507,0.51,281.1
organic,tropical,A,1.495,0.46,381.6
organic,tropical,H,1.681,0.3,353.1
conventional,tropical,X,6.629,0.04,295.9
conventional,temperate,X,2.327,0.07,260.3
conventional,temperate,C,2.757,0.04,252.7
conventional,boreal,J,4.264,0.06,182.2
organic,temperate,Y,0.68,0.38,303.4
conventional,boreal,Q,2.155,0.01,210.9
organic,boreal,Q,0.348,0.63,238.8
conventional,tropical,X,3.417,0,349.1
organic,boreal,M,0.974,0.49,297
conventional,boreal,Z,1.966,0,223.9
organic,temperate,O,1.617,0.49,260
organic,temperate,E,0.058,0.26,326.3
conventional,boreal,R,3.29,0.02,200.6
organic,temperate,T,0.828,0.48,324.8
organic,tropical,D,1.892,0.27,371.4
organic,temperate,O,1.695,0.38,255.1
conventional,tropical,G,3.797,0.01,315.7
organic,boreal,M,0.981,0.46,239.4
organic,temperate,A,0.919,0.55,298.4
conventional,temperate,J,3.4,0.02,186.9
conventional,temperate,A,3.658,0.02,237.1
organic,boreal,W,0.075,0.45,230.1
organic,temperate,S,0.597,0.4,296.8
organic,tropical,T,2.166,0.29,380.8
organic,boreal,P,0.736,0.43,241.7
conventional,boreal,O,1.909,0.05,222.9
organic,temperate,P,0.669,0.51,330.3
conventional,boreal,P,1.018,0.15,244
conventional,tropical,S,2.047,0.01,359.2
organic,boreal,M,0.535,0.36,262.6
conventional,boreal,C,1.859,0.04,249.5
organic,tropical,U,1.292,0.4,319.5
conventional,tropical,V,3.406,0.03,317.2
organic,temperate,Q,1.206,0.39,307.5
organic,tropical,V,1.94,0.26,395.5
organic,temperate,V,1.224,0.5,289.1
organic,temperate,H,0.724,0.45,320.2
conventional,boreal,Q,3.295,0.01,224.7
conventional,temperate,O,2.206,0.01,246.9
organic,temperate,F,1.066,0.44,292.9
organic,boreal,T,0.141,0.54,233.7
organic,tropical,R,1.943,0.23,397.8
organic,tropical,R,1.838,0.33,356.2
organic,boreal,I,1.16,0.37,242.8
conventional,tropical,H,4.996,0.05,304.1
organic,tropical,T,1.113,0.39,378.3
organic,boreal,X,0.566,0.46,237.6
organic,temperate,Q,1.217,0.46,281.7
conventional,tropical,J,5.502,0,281.4
organic,boreal,B,0.904,0.39,193.5
organic,tropical,R,1.835,0.48,348.9
organic,tropical,T,1.847,0.37,357.3
conventional,tropical,R,2.712,0.01,338.4
organic,temperate,Q,0.652,0.4,289.6
organic,temperate,A,0.694,0.52,302.8
conventional,boreal,Z,3.315,0.01,218.6
organic,tropical,Z,2.387,0.46,331.9
conventional,boreal,V,1.418,0.03,229.9
conventional,temperate,K,1.343,0,298
conventional,temperate,I,1.173,0,259.9
conventional,temperate,T,2.984,0.04,280.9
conventional,tropical,I,5.125,0.07,286.9
organic,boreal,E,1.248,0.22,269.2
organic,temperate,U,1.059,0.36,296.4
conventional,boreal,O,2.41,0.01,199.7
conventional,temperate,J,2.555,0.01,269
organic,tropical,U,2.065,0.39,345.4
conventional,temperate,Y,1.503,0.01,274.3
conventional,temperate,I,1.754,0.06,276.1
organic,tropical,T,2.294,0.39,342.5
organic,tropical,V,2.05,0.42,378.7
conventional,temperate,D,2.593,0.01,254.7
conventional,boreal,O,4.619,0.03,172.6
conventional,tropical,D,1.912,0,382.9
organic,boreal,V,0.141,0.39,267.8
organic,boreal,L,0.847,0.54,263.2
organic,tropical,F,1.267,0.5,354.2
organic,tropical,Z,2.195,0.62,328.3
conventional,tropical,G,2.689,0.03,349.6
organic,temperate,T,0.756,0.43,268.4
organic,tropical,J,1.626,0.29,404.2
organic,boreal,C,0.568,0.6,233.8
organic,tropical,W,2.013,0.38,365.2
conventional,temperate,J,2.538,0.1,294.5
conventional,temperate,O,2.856,0.04,247.7
conventional,temperate,V,3.331,0.03,240.4
conventional,boreal,W,2.872,0.04,178.9
conventional,tropical,U,2.243,0.03,357
conventional,tropical,C,4.416,0.02,301.6
organic,temperate,M,0.933,0.5,296.9
organic,boreal,U,1.176,0.42,240.1
organic,boreal,S,0.981,0.57,181.2
conventional,boreal,E,3.132,0.01,190.1
organic,tropical,E,1.461,0.49,351
organic,tropical,A,1.486,0.38,380.4
organic,tropical,X,1.101,0.54,398.4
conventional,boreal,I,1.376,0,238
organic,boreal,V,0.485,0.44,244.7
organic,boreal,O,1.462,0.52,219.4
conventional,boreal,Q,3.267,0.02,223
organic,temperate,V,1.642,0.36,272.2
organic,temperate,O,0.996,0.5,306.6
organic,temperate,G,0.476,0.27,283.1
conventional,temperate,P,3.617,0.08,275
organic,temperate,N,0.615,0.4,340.6
organic,temperate,C,0.856,0.41,266.9
organic,tropical,J,2.072,0.42,337
conventional,boreal,H,2.473,0.02,211.1
organic,temperate,D,1.25,0.5,298.9
organic,temperate,Z,1.358,0.44,281.8
organic,boreal,V,1.104,0.41,204
organic,boreal,O,1.305,0.5,219.7
conventional,tropical,L,3.326,0.01,339.1
conventional,temperate,Y,2.844,0.02,275.2
conventional,tropical,G,4.266,0.02,332.6
organic,temperate,C,0.628,0.5,341.6
organic,boreal,Q,1.299,0.52,204
conventional,temperate,S,2.346,0.03,235.9
conventional,temperate,B,3.843,0.01,216.9
organic,temperate,R,2.398,0.51,263
conventional,tropical,L,2.522,0.05,392.8
conventional,tropical,M,1.829,0.1,373
conventional,tropical,E,2.881,0.02,312.1
organic,boreal,D,0.401,0.34,284.7
conventional,temperate,X,2.635,0.05,251.1
organic,boreal,S,0.411,0.37,238.2
organic,boreal,O,0.472,0.33,267.9
conventional,boreal,A,2.604,0.1,201.1
conventional,boreal,L,5.287,0.01,149.2
organic,boreal,X,1.385,0.37,208.9
conventional,temperate,C,1.366,0.03,271.1
organic,tropical,Z,0.697,0.32,395.2
conventional,boreal,O,1.617,0.04,242.2
conventional,boreal,W,1.625,0.05,222.7
conventional,temperate,Y,0.837,0.03,300.5
conventional,temperate,B,4.244,0,242.9
conventional,tropical,S,3.51,0.02,338.4
organic,boreal,N,0.692,0.39,229.1
organic,temperate,P,1.463,0.43,307.4
organic,temperate,O,0.756,0.45,305.4
organic,tropical,C,1.337,0.42,378.7
conventional,boreal,R,3.201,0.01,199.8
organic,tropical,B,1.498,0.45,340.8
organic,tropical,R,1.697,0.33,378.8
organic,tropical,M,1.737,0.36,373.3
conventional,boreal,U,2.541,0.01,205
conventional,boreal,Q,2.093,0,268.3
conventional,boreal,C,2.841,0.02,202.8
conventional,tropical,O,1.926,0.01,372
organic,tropical,G,1.905,0.5,363.8
conventional,temperate,E,1.786,0,275.7
organic,tropical,H,1.581,0.45,386.6
conventional,temperate,Q,2.353,0.02,249.4
organic,boreal,I,0.783,0.43,272.5
conventional,tropical,B,1.328,0.03,356.8
conventional,boreal,P,2.289,0.05,198.9
conventional,boreal,O,1.614,0.06,232.9
organic,temperate,I,0.734,0.41,279.1
organic,temperate,O,1.393,0.23,325.5
conventional,boreal,I,3.747,0.03,213.6
organic,temperate,C,0.631,0.49,279
organic,tropical,X,1.612,0.47,377.6
organic,temperate,A,0.747,0.59,271.4
organic,tropical,E,2.09,0.38,402.9
conventional,temperate,X,2.184,0,273.8
conventional,boreal,X,4.126,0.08,167.2
conventional,boreal,X,2.38,0.02,208.4
conventional,temperate,A,1.556,0.01,271.8
conventional,tropical,M,4.181,0.05,284.8
organic,boreal,W,1.113,0.4,223.1
conventional,tropical,J,2.884,0.04,328.1
conventional,tropical,O,1.122,0.03,349
conventional,tropical,O,5.05,0.02,333
conventional,temperate,W,4.051,0,281.5
organic,tropical,F,1.739,0.42,335.9
organic,boreal,K,0.507,0.49,255.3
organic,tropical,M,2.214,0.42,342.1
conventional,boreal,M,2.002,0,192.5
organic,boreal,I,0.948,0.45,258.6
organic,tropical,Z,1.399,0.41,352.4
conventional,boreal,F,2.277,0.04,223.6
organic,temperate,J,0.846,0.63,244.9
organic,temperate,J,0.306,0.57,318
conventional,tropical,U,2.272,0.04,344.5
conventional,temperate,X,3.941,0.06,262.2
organic,temperate,U,0.75,0.39,301.5
organic,temperate,G,1.014,0.38,268
conventional,tropical,F,3.011,0.12,349.6
conventional,tropical,S,1.751,0,366.5
organic,tropical,Z,0.866,0.5,386.4
organic,temperate,B,1.095,0.51,279.2
conventional,temperate,L,2.437,0.02,255.5
organic,temperate,T,1.086,0.41,274.3
conventional,tropical,F,4.667,0.01,308
conventional,boreal,O,3.376,0.04,205.6
organic,temperate,J,1.002,0.44,308.7
conventional,temperate,R,1.151,0.02,258.6
conventional,temperate,I,0.745,0.02,295
organic,boreal,U,0.16,0.61,226.8
organic,tropical,F,2.198,0.51,378.7
conventional,temperate,G,3.537,0.02,237.6
organic,temperate,A,1.081,0.37,260.8
conventional,temperate,E,0.627,0.03,282.3
organic,boreal,X,0.997,0.34,251.5
organic,boreal,V,1.363,0.4,241.9
organic,boreal,X,1.631,0.51,203.8
conventional,boreal,N,3.25,0.12,208.3
organic,boreal,G,0.835,0.55,224.7
conventional,temperate,G,2.294,0.05,269.3
organic,boreal,C,0.047,0.53,263.6
conventional,temperate,R,2.536,0.02,262.1
organic,temperate,C,0.951,0.37,253.8
conventional,tropical,C,4.166,0.04,329.4
conventional,temperate,V,1.606,0.01,233.7
conventional,boreal,K,3.488,0.05,170.8
conventional,tropical,Y,4.509,0.05,344.4
conventional,temperate,D,2.71,0.02,267.3
conventional,boreal,Z,2.836,0.03,223.2
organic,boreal,S,0.502,0.43,234.1
organic,tropical,F,2.111,0.55,340.4
conventional,temperate,X,4.236,0.02,256.7
conventional,temperate,N,3.475,0.02,238.8
organic,temperate,K,1.072,0.49,301
organic,tropical,Y,1.829,0.53,350.4
organic,tropical,L,2.35,0.3,356.5
conventional,boreal,Q,3.601,0.04,178.3
organic,temperate,Y,1.134,0.43,282.8
organic,tropical,W,2.222,0.57,358.9
conventional,temperate,T,3.43,0.02,239.1
organic,temperate,U,1.261,0.31,267.9
conventional,tropical,K,2.894,0.04,322.6
conventional,temperate,R,1.556,0.03,262.3
organic,boreal,H,1.049,0.48,249.7
organic,boreal,H,1.059,0.35,237.3
organic,boreal,O,1.159,0.43,245.9
conventional,tropical,R,1.322,0.07,348.2
organic,tropical,Z,1.407,0.28,360.8
organic,temperate,R,0.943,0.48,245.5
organic,temperate,N,0.188,0.33,312.5
organic,boreal,C,0.525,0.46,247.2
organic,boreal,N,0.662,0.28,258.7
organic,temperate,E,1.35,0.47,280.8
conventional,tropical,C,1.689,0.05,362.4
conventional,tropical,Y,4.89,0,323.6
conventional,boreal,N,4.386,0.02,188.7
conventional,temperate,R,2.74,0.01,247.9
conventional,temperate,K,2.053,0.04,272.9
conventional,boreal,I,1.678,0.05,229.3
organic,boreal,B,0.332,0.31,277.2
organic,boreal,L,0.342,0.4,251
organic,boreal,O,1.266,0.48,212
conventional,temperate,N,3.563,0.02,278.6
organic,tropical,T,1.472,0.66,330.2
organic,temperate,C,0.688,0.44,280.8
organic,temperate,A,0.255,0.31,308.8
organic,temperate,J,0.114,0.31,324.6
conventional,tropical,H,2.454,0.01,370.4
organic,tropical,L,2.207,0.38,327.5
organic,temperate,F,1.17,0.37,274.2
conventional,tropical,D,3.285,0.08,321.4
organic,tropical,E,1.744,0.39,387.9
organic,boreal,U,1.018,0.42,278.7
conventional,tropical,M,3.921,0.02,339.8
organic,tropical,U,1.949,0.32,369.9
conventional,temperate,Z,0.986,0.01,256.8
organic,boreal,I,0.436,0.32,258.9
organic,temperate,C,0.934,0.39,330.5
organic,tropical,L,2.631,0.44,352.9
organic,temperate,Z,0.966,0.42,273.2
conventional,tropical,H,3.699,0.03,322.3
organic,temperate,T,0.604,0.26,317.9
organic,tropical,S,1.741,0.42,344.9
conventional,tropical,G,3.115,0.03,346.5
conventional,tropical,T,3.059,0.01,297.2
organic,boreal,F,0.819,0.28,248.9
conventional,boreal,W,1.8,0.02,252.5
conventional,tropical,A,2.861,0.07,308.5
conventional,temperate,W,4.378,0,234.6
conventional,boreal,Y,3.763,0.05,211.1
conventional,temperate,E,2.768,0.03,232
conventional,tropical,G,1.821,0.01,380.6
conventional,temperate,G,2.333,0.02,273.9
organic,boreal,L,0.993,0.42,221.6
conventional,temperate,W,1.714,0.04,298.2
organic,temperate,P,1.154,0.39,268.5
conventional,tropical,A,2.985,0,320.1
organic,tropical,V,1.082,0.45,368.8
organic,tropical,P,2.093,0.4,381.9
organic,boreal,H,0.225,0.39,261.2
conventional,tropical,P,3.167,0.02,338.8
conventional,temperate,Z,2.676,0.03,261.8
conventional,tropical,U,2.94,0,318.3
organic,tropical,M,1.666,0.37,380.8
conventional,tropical,R,3.965,0.05,295.5
organic,tropical,V,1.791,0.4,402.3
conventional,boreal,S,2.236,0.01,251.9
conventional,boreal,Q,2.857,0.04,210.3
conventional,boreal,D,2.828,0.02,221.6
conventional,boreal,A,4.781,0.03,205.4
conventional,temperate,C,1.673,0.01,301.7
conventional,boreal,A,2.512,0.01,223.2
organic,tropical,J,2.345,0.54,318.7
organic,boreal,V,0.625,0.33,233.5
organic,tropical,W,1.845,0.34,370.7
conventional,temperate,R,3.715,0,241.6
conventional,tropical,S,1.315,0.03,347.7
conventional,temperate,I,1.782,0.02,250.8
organic,tropical,Q,1.908,0.29,374.8
organic,boreal,Q,0.853,0.49,274.8
conventional,temperate,S,4.394,0,220.7
conventional,tropical,A,2.03,0.01,325
conventional,temperate,A,3.171,0.01,227.2
organic,temperate,G,0.655,0.37,309.3
organic,temperate,P,0.505,0.54,275.7
conventional,tropical,C,3.351,0,311.9
conventional,temperate,U,1.932,0.09,220.3
conventional,boreal,E,4.192,0.01,187.6
conventional,boreal,K,1.005,0.04,233.9
organic,tropical,B,2.305,0.42,341.6
conventional,boreal,V,1.451,0.02,230.5
conventional,tropical,O,3.158,0.01,376.6
organic,temperate,P,1.304,0.45,288.8
organic,tropical,C,1.718,0.38,385.9
conventional,temperate,K,2.741,0.01,254
conventional,tropical,V,6.032,0.01,296.4
organic,temperate,Z,1.064,0.37,331.5
organic,tropical,L,2.499,0.42,349.5
conventional,tropical,J,4.531,0,275.7
conventional,temperate,U,3.885,0,257.9
organic,boreal,V,0.795,0.4,212.6
conventional,temperate,P,1.605,0.05,283.5
organic,tropical,U,2.053,0.4,388.3
organic,boreal,G,0.792,0.34,245.9
conventional,boreal,R,3.196,0.03,224.7
conventional,boreal,J,5.485,0.01,165.8
organic,tropical,L,1.349,0.44,350.1
conventional,boreal,E,1.321,0.02,208.5
conventional,boreal,T,0.074,0,282.5
conventional,temperate,Y,1.479,0,278.7
organic,temperate,Y,1.021,0.67,273.8
conventional,tropical,L,2.774,0.01,333
organic,boreal,G,1.023,0.42,241.8
organic,temperate,R,0.386,0.6,273.5
organic,boreal,K,0.702,0.33,265.6
organic,temperate,P,1.405,0.26,306.9
organic,temperate,T,0.716,0.46,308.9
conventional,temperate,I,1.364,0.01,285.7
conventional,temperate,Z,0.674,0.02,239.8
conventional,temperate,T,3.715,0.14,240.3
conventional,tropical,R,3.77,0.11,328
organic,tropical,Z,1.71,0.37,386.6
organic,tropical,T,1.509,0.53,391.4
organic,temperate,B,0.685,0.43,268.2
organic,tropical,G,2.043,0.36,362.1
organic,tropical,A,1.673,0.31,308.7
conventional,tropical,Y,3.08,0.04,379.9
organic,tropical,N,1.693,0.29,329.5
organic,boreal,G,0.765,0.29,257.4
organic,boreal,X,0.026,0.44,236.7
organic,tropical,U,1.682,0.34,384.2
conventional,temperate,S,3.188,0.08,244.2
conventional,temperate,T,0.807,0,280.8
organic,boreal,J,0.932,0.34,290.3
conventional,tropical,C,2.477,0.02,369.2
conventional,boreal,Q,1.639,0.09,266.6
conventional,tropical,Q,4.805,0,310.5
organic,temperate,K,1.276,0.52,234.6
organic,tropical,R,2.391,0.44,335.9
conventional,boreal,Z,1.658,0.01,238.5
organic,boreal,N,1.252,0.52,263.9
conventional,boreal,D,1.758,0,224.8
conventional,temperate,C,3.728,0.03,225.6
organic,temperate,J,0.428,0.44,296.8
conventional,boreal,X,0.898,0,275.5
conventional,temperate,L,5.214,0.02,230.2
conventional,tropical,X,3.329,0.03,366.8
organic,temperate,O,0.792,0.43,320.8
conventional,tropical,Z,2.743,0.03,346.1
conventional,tropical,Q,3.018,0.03,345.5
conventional,temperate,M,1.055,0,295.6
organic,boreal,D,0.717,0.27,263.6
organic,temperate,C,0.077,0.43,282.8
conventional,tropical,S,0.571,0.01,353
organic,tropical,D,1.263,0.65,350.8
conventional,boreal,L,3.122,0.01,205.7
conventional,tropical,O,3.616,0.01,329.2
conventional,temperate,C,3.593,0.07,235.1
conventional,tropical,W,1.982,0.13,380.2
conventional,temperate,R,2.82,0,251.8
organic,temperate,T,0.973,0.62,295.6
organic,boreal,P,0.431,0.37,233.2
organic,boreal,S,1.321,0.57,202
conventional,tropical,Y,3.465,0,335.1
organic,boreal,W,0.919,0.47,219
organic,boreal,E,0.542,0.52,211.7
organic,temperate,M,1.083,0.44,339.7
conventional,tropical,Z,2.706,0.04,321.3
conventional,tropical,S,2.739,0.04,349.1
conventional,temperate,Q,0.483,0.09,276.4
organic,tropical,C,1.736,0.32,418.3
organic,temperate,R,0.235,0.3,330.1
organic,temperate,K,0.978,0.54,266.8
organic,boreal,T,0.444,0.39,246.2
organic,temperate,F,1.163,0.31,271.6
conventional,tropical,L,5.057,0,305.7
conventional,tropical,L,4.26,0.03,329.6
